x f
4639.756 1.954822e-16
4641.657 1.962606e-16
4643.559 2.008489e-16
4645.462 1.956649e-16
4647.365 1.951172e-16
4649.269 1.973745e-16
4651.173 2.015387e-16
4653.078 2.010997e-16
4654.984 1.987832e-16
4656.890 1.974849e-16
4658.796 2.050145e-16
4660.704 2.086430e-16
4662.612 2.074705e-16
4664.520 2.077490e-16
4666.430 2.096421e-16
4668.339 2.051593e-16
4670.250 2.083387e-16
4672.161 2.030616e-16
4674.073 2.071589e-16
4675.985 2.004371e-16
4677.897 2.063896e-16
4679.811 2.085884e-16
4681.725 2.052781e-16
4683.640 2.118579e-16
4685.555 2.066194e-16
4687.471 2.030412e-16
4689.387 2.057829e-16
4691.304 2.034572e-16
4693.222 2.055573e-16
4695.140 2.072164e-16
4697.059 2.076964e-16
4698.978 2.082262e-16
4700.898 2.153650e-16
4702.818 2.163874e-16
4704.740 2.147058e-16
4706.662 2.253810e-16
4708.584 2.248208e-16
4710.507 2.220710e-16
4712.431 2.296992e-16
4714.355 2.279211e-16
4716.279 2.335934e-16
4718.205 2.397090e-16
4720.131 2.414846e-16
4722.057 2.401642e-16
4723.985 2.458589e-16
4725.912 2.509589e-16
4727.841 2.545807e-16
4729.769 2.520543e-16
4731.699 2.538410e-16
4733.629 2.590651e-16
4735.560 2.620133e-16
4737.491 2.643487e-16
4739.423 2.680383e-16
4741.355 2.639412e-16
4743.288 2.559711e-16
4745.222 2.571696e-16
4747.156 2.683815e-16
4749.091 2.783053e-16
4751.027 2.748418e-16
4752.962 2.680121e-16
4754.898 2.641805e-16
4756.835 2.645273e-16
4758.773 2.665902e-16
4760.712 2.749330e-16
4762.650 2.655702e-16
4764.590 2.673835e-16
4766.530 2.640062e-16
4768.471 2.634247e-16
4770.412 2.544792e-16
4772.353 2.510605e-16
4774.296 2.517526e-16
4776.238 2.407884e-16
4778.182 2.437848e-16
4780.126 2.402547e-16
4782.071 2.376630e-16
4784.016 2.395088e-16
4785.962 2.360063e-16
4787.908 2.353683e-16
4789.855 2.335319e-16
4791.803 2.301446e-16
4793.750 2.282356e-16
4795.699 2.289826e-16
4797.648 2.274185e-16
4799.598 2.255705e-16
4801.549 2.276084e-16
4803.500 2.280697e-16
4805.451 2.239085e-16
4807.403 2.176374e-16
4809.356 2.217044e-16
4811.309 2.221391e-16
4813.263 2.153104e-16
4815.217 2.104924e-16
4817.172 2.127557e-16
4819.128 2.128545e-16
4821.084 2.064473e-16
4823.040 2.070291e-16
4824.998 2.017885e-16
4826.956 2.029363e-16
4828.914 2.032871e-16
4830.873 2.068105e-16
4832.832 2.006605e-16
4834.792 1.972475e-16
4836.753 1.983650e-16
4838.714 1.984837e-16
4840.676 1.966708e-16
4842.638 1.982289e-16
4844.601 1.939094e-16
4846.564 1.960633e-16
4848.528 1.899978e-16
4850.493 1.915250e-16
4852.458 1.883005e-16
4854.424 1.938441e-16
4856.390 1.890435e-16
4858.356 1.920879e-16
4860.324 1.879011e-16
4862.292 1.885113e-16
4864.260 1.875375e-16
4866.229 1.899398e-16
4868.198 1.889587e-16
4870.169 1.899471e-16
4872.139 1.871462e-16
4874.111 1.839221e-16
4876.082 1.853336e-16
4878.055 1.846164e-16
4880.028 1.849097e-16
4882.001 1.794022e-16
4883.975 1.839385e-16
4885.950 1.761976e-16
4887.925 1.818045e-16
4889.901 1.816281e-16
4891.877 1.763186e-16
4893.854 1.775338e-16
4895.831 1.810267e-16
4897.809 1.800952e-16
4899.787 1.774911e-16
4901.766 1.762239e-16
4903.746 1.749043e-16
4905.726 1.762749e-16
4907.706 1.776258e-16
4909.687 1.761091e-16
4911.669 1.754784e-16
4913.651 1.734374e-16
4915.634 1.718297e-16
4917.618 1.731352e-16
4919.602 1.732376e-16
4921.586 1.713707e-16
4923.571 1.728231e-16
4925.557 1.747225e-16
4927.543 1.699640e-16
4929.529 1.738038e-16
4931.516 1.726197e-16
4933.504 1.735568e-16
4935.493 1.689382e-16
4937.481 1.691351e-16
4939.470 1.719455e-16
4941.460 1.742527e-16
4943.451 1.729000e-16
4945.442 1.747064e-16
4947.433 1.713312e-16
4949.425 1.713151e-16
4951.418 1.723109e-16
4953.411 1.691130e-16
4955.405 1.734971e-16
4957.399 1.733578e-16
4959.393 1.745728e-16
4961.389 1.694438e-16
4963.385 1.691485e-16
4965.381 1.738915e-16
4967.378 1.714549e-16
4969.375 1.746146e-16
4971.373 1.753785e-16
4973.372 1.765002e-16
4975.370 1.767793e-16
4977.370 1.772890e-16
4979.370 1.735486e-16
4981.371 1.708404e-16
4983.372 1.737057e-16
4985.374 1.776058e-16
4987.376 1.773748e-16
4989.378 1.726054e-16
4991.382 1.768318e-16
4993.385 1.696945e-16
4995.390 1.774132e-16
4997.395 1.766441e-16
4999.400 1.776367e-16
5001.406 1.793080e-16
5003.412 1.780352e-16
5005.419 1.740542e-16
5007.427 1.808223e-16
5009.435 1.796480e-16
5011.443 1.808591e-16
5013.452 1.761153e-16
5015.462 1.749326e-16
5017.472 1.765658e-16
5019.484 1.748716e-16
5021.493 1.749031e-16
5023.505 1.773840e-16
5025.518 1.755967e-16
5027.530 1.752149e-16
5029.543 1.770631e-16
5031.557 1.763905e-16
5033.572 1.708273e-16
5035.586 1.776079e-16
5037.602 1.755678e-16
5039.618 1.717885e-16
5041.634 1.750578e-16
5043.651 1.706118e-16
5045.668 1.727590e-16
5047.686 1.717649e-16
5049.704 1.789292e-16
5051.724 1.750975e-16
5053.743 1.724621e-16
5055.763 1.758097e-16
5057.784 1.721219e-16
5059.804 1.717837e-16
5061.826 1.688182e-16
5063.848 1.704682e-16
5065.871 1.691158e-16
5067.894 1.686960e-16
5069.917 1.728121e-16
5071.941 1.713147e-16
5073.966 1.657740e-16
5075.991 1.687670e-16
5078.017 1.657402e-16
5080.043 1.648929e-16
5082.069 1.638475e-16
5084.096 1.691360e-16
5086.124 1.669686e-16
5088.152 1.655080e-16
5090.181 1.631503e-16
5092.209 1.607072e-16
5094.240 1.649441e-16
5096.270 1.666998e-16
5098.301 1.667911e-16
5100.332 1.605194e-16
5102.364 1.620613e-16
5104.396 1.566015e-16
