 objectId SherlockClass MJD_First MJD_Peak MJD_Last N_pre_g N_post_g slope_g slope_err_g Rsq_g N_pre_r N_post_r slope_r slope_err_r Rsq_r
5101 ZTF20achuumj AGN 59108.87054000003 59970.76571760001 60353.62626159983 163 62 0.00274 0.00013 0.7856 151 79 0.00197 9e-05 0.76288
5426 ZTF20acrtmsp AGN 59142.72460999992 59711.98692130018 60358.63655090006 49 116 0.00113 5e-05 0.7713 93 172 0.00103 4e-05 0.73324
5453 ZTF20actrgfm AGN 59150.690349999815 59505.68981479993 60284.662118100096 34 97 0.00071 5e-05 0.54709 20 106 0.00072 4e-05 0.65181
5610 ZTF21aabvpwo AGN 59306.73712959979 59859.94696759991 60352.78570599994 43 55 0.00128 8e-05 0.79175 15 55 0.00102 9e-05 0.57726
6072 ZTF21aapwiox AGN 59263.994340300094 59685.90949069988 60205.65629629977 63 73 0.0014 8e-05 0.63747 71 71 0.0014 9e-05 0.64295
6108 ZTF21aarsvfc AGN 59305.02682870021 59318.01518520014 60311.63900459977 2 142 0.00102 3e-05 0.58445 31 232 0.00094 2e-05 0.65703
6575 ZTF21abeiszg AGN 59352.98190970021 59781.91184030008 60355.65568289999 46 97 0.00131 5e-05 0.68276 113 68 0.00144 7e-05 0.7504
6694 ZTF21abkfvho AGN 59390.95194440009 59894.85708330013 60285.72728009988 66 57 0.00206 0.0001 0.85352 37 60 0.00108 9e-05 0.64699
7034 ZTF21acapvei AGN 59452.95076389983 59902.88057869999 60397.783969900105 46 64 0.00102 8e-05 0.56207 45 54 0.00099 9e-05 0.57642
7655 ZTF22aadesap SN 59673.844722200185 59784.75949069997 60391.90858800011 45 85 0.0027 8e-05 0.90037 40 79 0.00232 8e-05 0.91484
10544 ZTF18aachmlj AGN 58580.71438999986 59270.80003469996 60403.82222220022 100 129 0.00067 2e-05 0.54383 96 122 0.00054 3e-05 0.56759
10582 ZTF18aadyush AGN 59224.79966000002 59629.88598380005 60403.80386570003 34 85 0.00125 5e-05 0.71813 56 102 0.00115 5e-05 0.72373
10592 ZTF18aaejdht AGN 58464.97109000012 59479.01320599997 60403.77902780008 123 163 0.00041 2e-05 0.62429 154 105 0.00058 4e-05 0.60889
10768 ZTF18aatprdf AGN 58720.66153000016 59063.76701389998 60163.74174770014 85 107 0.001 4e-05 0.64877 90 61 0.00193 0.00014 0.68147
10769 ZTF18aatxsvu AGN 58273.832592600025 59253.01557870023 60398.9284144002 67 119 0.00198 4e-05 0.58163 108 202 0.00137 2e-05 0.75615
10777 ZTF18aavllyn AGN 58287.84334489983 59802.78754629986 60398.99311339995 208 97 0.00151 7e-05 0.73214 184 111 0.00119 6e-05 0.72474
10954 ZTF18abmatxu AGN 58338.89699070016 59301.02711809985 60263.631458300166 60 123 0.00094 3e-05 0.79859 98 142 0.00084 4e-05 0.60864
10961 ZTF18abmmupl AGN 58366.75457180012 59359.95280090021 60311.61980320001 115 203 0.00077 2e-05 0.60047 147 232 0.00072 2e-05 0.53001
10980 ZTF18abosglv AGN 58355.83966440009 59755.9514930998 60341.65931709996 565 249 0.00169 3e-05 0.56841 942 395 0.00191 3e-05 0.52911
11170 ZTF18acaopar AGN 58423.02745370008 59685.82627309999 60378.72153940005 302 124 0.00224 4e-05 0.84741 423 197 0.00142 4e-05 0.72471
11253 ZTF18aceixgv AGN 58634.93065 58996.95395829994 60252.70079859998 65 152 0.00067 2e-05 0.69283 33 89 0.00091 5e-05 0.50814
11297 ZTF18achfxcy AGN 58434.63942130003 58814.62810190022 59935.629756900016 77 150 0.00165 3e-05 0.87171 41 237 0.00153 2e-05 0.84361
11351 ZTF18acsvwfn AGN 59696.97331020003 60030.031400499865 60290.63636570005 33 65 0.00147 8e-05 0.74774 68 72 0.00282 0.00016 0.77067
11357 ZTF18acughck AGN 58469.59811000014 59937.70019679982 60315.68122689985 340 66 0.00194 0.00013 0.79865 484 126 0.00241 0.0001 0.89896
11409 ZTF18acvvudh SN 58450.87953000004 58547.69083329989 59531.91640050011 9 61 0.00211 5e-05 0.88331 12 82 0.00184 4e-05 0.86539
11454 ZTF18acwzfao AGN 58477.03711999999 59958.053310200106 60391.91628469992 164 55 0.00323 0.00017 0.93605 199 58 0.00205 0.00014 0.85231
11459 ZTF18acxhpnu AGN 58440.7126000002 58671.93302079989 60119.95920140017 71 151 0.00047 2e-05 0.5438 21 222 0.00041 1e-05 0.67051
11515 ZTF18adcbcud AGN 58574.98594000004 59399.88188660005 59899.61125000008 93 119 0.00162 5e-05 0.70371 149 89 0.00143 7e-05 0.63758
11518 ZTF18adccbwh AGN 58455.7699099998 59358.97635419993 59936.75950230006 126 92 0.00123 4e-05 0.81382 156 72 0.00109 9e-05 0.56007
11656 ZTF19aaciuqb AGN 58482.051839999855 58557.9380092998 59434.67471060017 12 53 0.00079 5e-05 0.73927 1 103 0.00053 4e-05 0.61594
11701 ZTF19aadgohx AGN 58467.030530000106 59216.07668979978 59707.81200229982 3 67 0.00165 0.0001 0.66323 3 69 0.00138 9e-05 0.6377
11732 ZTF19aagoauz AGN 58487.943279999774 59176.02583329985 60398.86633099988 21 123 0.00061 2e-05 0.72176 16 208 0.00074 2e-05 0.80764
11763 ZTF19aaiphbf AGN 58495.740639999975 58833.80549769988 59872.863321799785 40 76 0.0011 6e-05 0.65691 30 132 0.00094 3e-05 0.77289
11817 ZTF19aalcohu AGN 58513.0520601999 58972.92246530019 60205.68130790023 199 219 0.00097 2e-05 0.71735 160 305 0.00082 2e-05 0.62777
11818 ZTF19aalcrch AGN 58527.02725689998 59324.88365740003 60403.95739579992 101 175 0.00068 3e-05 0.59917 115 168 0.00064 3e-05 0.61429
11871 ZTF19aamvnkd AGN 58538.98142000008 59410.69515050016 60398.84789349977 142 94 0.00225 4e-05 0.7016 116 71 0.00258 6e-05 0.83586
11883 ZTF19aanfhok AGN 58538.738470000215 59711.68118060008 60374.90863429988 143 58 0.00118 7e-05 0.86954 139 69 0.00086 7e-05 0.73386
11933 ZTF19aanykrj AGN 58558.0189100001 59231.06744210003 59820.67513890006 66 102 0.0015 6e-05 0.82018 47 65 0.00149 0.00013 0.68299
11942 ZTF19aaocivj AGN 58568.83770000003 59417.7083796002 60398.92792819999 80 95 0.00098 4e-05 0.72036 85 161 0.00078 3e-05 0.81628
11996 ZTF19aapkxke AGN 58557.76808999991 58890.77879629983 60403.82613429986 58 116 0.00066 3e-05 0.6127 46 118 0.00046 3e-05 0.50177
12003 ZTF19aaprezk AGN 58574.9850300001 59151.66228009993 60285.633506900165 89 220 0.0016 2e-05 0.89401 90 244 0.00149 2e-05 0.89589
12030 ZTF19aaqekvu AGN 58556.98137999978 59203.0650231 60354.042928200215 59 154 0.00058 3e-05 0.69065 45 165 0.00046 2e-05 0.53285
12057 ZTF19aarqhgk AGN 58618.95777999982 59395.89956020005 60311.62501160009 98 159 0.00064 3e-05 0.646 106 204 0.00071 3e-05 0.67339
12085 ZTF19aasbewy AGN 58606.76501000021 58969.89317130018 60194.665057899896 61 185 0.00116 2e-05 0.71632 70 112 0.00134 3e-05 0.63393
12281 ZTF19aatvkxl AGN 58593.94640999986 58999.92898150021 60255.67156249983 36 153 0.00084 2e-05 0.72207 38 115 0.0012 4e-05 0.76761
12285 ZTF19aatvmyz AGN 58601.992037000135 58743.885509300046 60206.80856479984 23 117 0.00066 2e-05 0.57978 23 60 0.00123 9e-05 0.51847
12318 ZTF19aavajik AGN 58593.94596000016 59279.05070600007 59883.64126159996 68 91 0.00148 6e-05 0.83687 75 107 0.00136 5e-05 0.82669
12398 ZTF19aawtpso AGN 58608.69310999988 59478.00560190016 60354.84751159977 45 119 0.0011 3e-05 0.83065 138 118 0.00121 4e-05 0.80359
12501 ZTF19abctuwd AGN 58643.95643999986 59039.86270829989 60261.73579860013 31 146 0.00081 2e-05 0.81895 77 128 0.00079 3e-05 0.71626
12516 ZTF19abdkfia AGN 58655.94499999983 58867.645671300124 60181.9566434999 40 114 0.00107 4e-05 0.54441 38 93 0.001 5e-05 0.51312
12537 ZTF19abdyhjw AGN 58643.95869000023 59743.92533560004 60285.64810189977 113 93 0.00118 6e-05 0.79577 89 106 0.0009 4e-05 0.86134
12552 ZTF19abeievz AGN 58644.94719999982 59806.94809029997 60254.68368060002 137 127 0.00256 6e-05 0.89971 142 65 0.00246 8e-05 0.84607
12634 ZTF19abjascw AGN 58669.96199999983 59125.880092599895 59935.686145800166 63 93 0.00085 4e-05 0.70849 62 78 0.00094 4e-05 0.71781
12692 ZTF19abkfcln AGN 58667.950358800124 59380.97487269994 60354.63668979984 137 138 0.00086 3e-05 0.74429 147 163 0.0009 3e-05 0.75266
12713 ZTF19abknctr AGN 58875.99957180023 59684.90936340019 60355.98104170011 58 52 0.00158 7e-05 0.75535 80 69 0.0011 5e-05 0.53461
12727 ZTF19ablmnng AGN 58757.78239999991 59684.99967590021 60202.71928239986 80 70 0.00145 9e-05 0.6563 66 62 0.00239 0.00014 0.6203
12795 ZTF19abpfqvx AGN 58676.9868999999 59810.90151620004 60325.69233800005 82 72 0.00062 6e-05 0.51419 66 66 0.00072 7e-05 0.61607
13170 ZTF19adcegrz AGN 58820.00009999983 59128.97447919985 60324.947384300176 79 147 0.00115 5e-05 0.63855 175 87 0.0008 4e-05 0.62708
13266 ZTF20aaaxvnt AGN 58820.00193999987 59485.02847220004 60352.85930560017 47 66 0.00104 4e-05 0.8098 77 111 0.00078 4e-05 0.66769
13367 ZTF20aafdank AGN 58833.67322919984 59477.83356480021 60314.6160995001 57 89 0.00066 4e-05 0.66611 69 62 0.00058 6e-05 0.61495
13402 ZTF20aagjrjd AGN 59061.94964119978 59540.8156365999 60354.6314468002 45 103 0.00112 3e-05 0.87047 83 82 0.00107 5e-05 0.77214
13464 ZTF20aaigazh AGN 58853.02442000015 59628.96327550011 60355.97478009993 63 72 0.00101 6e-05 0.63985 93 97 0.00091 5e-05 0.65904
13578 ZTF20aanvvdw AGN 58878.01820599986 59775.8431712999 60391.96975689987 212 83 0.00105 7e-05 0.50821 230 102 0.00086 7e-05 0.54623
